level,model_name,mean_auc,std_auc,mean_f1,std_f1
1,XGBoost,0.7189487042406937,0.0029848364510547303,0.6547416256644061,0.0016551844238235156
1,RandomForest,0.6948108431985479,0.0032522028741983912,0.6369288142585795,0.004377465178499952
2,XGBoost,0.9205935390093734,0.003048945652317397,0.8387007129841443,0.0030854683366626436
2,RandomForest,0.9121250681594418,0.002939956751312616,0.8301875245771443,0.002834271451505016
3,XGBoost,0.9993377561016402,3.361325939737363e-05,0.9898090591142139,0.0005634947001412337
3,RandomForest,0.9988136104286381,0.0002376651550706069,0.9859470141056285,0.0004395132011068967
