feature_name,mean_shap_level1,mean_shap_level2,mean_shap_level3,mean_shap_overall,fragility_label
avg_sent_len,0.3276768624782562,0.2137867212295532,0.4570823609828949,0.3328486482302348,neutral
word_count,0.0129692088812589,0.0988623052835464,0.1187265366315841,0.0768526835987965,robust
sentence_count,0.0574479289352893,0.0133525040000677,0.0459587499499321,0.0389197276284297,robust
avg_word_len,0.5847494006156921,1.42346453666687,4.155760765075684,2.0546582341194153,fragile
mattr,0.0557753033936023,0.2934118807315826,0.2178058326244354,0.1889976722498735,neutral
mtld,0.0223536528646945,0.41286501288414,0.9088179469108582,0.4480122042198975,fragile
hdd,0.054076038300991,0.1690251529216766,0.3122279047966003,0.1784430320064226,neutral
pos_noun_ratio,0.0981264114379882,0.1389939934015274,0.1340871453285217,0.1237358500560124,neutral
pos_verb_ratio,0.0382216274738311,0.0911949425935745,0.0934852808713913,0.074300616979599,robust
pos_adj_ratio,0.0134294060990214,0.1710316836833953,0.1792035847902298,0.1212215581908822,neutral
pos_adv_ratio,0.0111052859574556,0.0466538034379482,0.0557721257209777,0.0378437383721272,robust
pos_other_ratio,0.4254917502403259,0.5109244585037231,0.529953122138977,0.4887897769610087,fragile
flesch_kincaid_grade,0.0983153730630874,0.0250400304794311,0.1087365373969078,0.0773639803131421,robust
coleman_liau_index,0.2696183323860168,0.1952589005231857,0.1066159158945083,0.1904977162679036,neutral
gunning_fog,0.0996124893426895,0.1274290382862091,1.3471490144729614,0.52473018070062,fragile
smog_index,0.1494668126106262,0.6004418730735779,0.8514789342880249,0.5337958733240763,fragile
automated_readability_index,0.0674320831894874,0.3567034602165222,0.4082406163215637,0.2774587199091911,neutral
dale_chall_readability_score,0.4168497025966644,0.0864691883325576,0.5106616020202637,0.3379934976498286,fragile
linsear_write_formula,0.0566672161221504,0.1260652393102646,0.0982886478304863,0.0936737010876337,neutral
connective_freq,0.0220656506717205,0.1978505253791809,0.2543561160564422,0.1580907640357812,neutral
avg_lexical_overlap,0.1457303464412689,0.1524901688098907,0.7093850374221802,0.3358685175577799,fragile
mean_dep_tree_depth,0.0424173697829246,0.1153152212500572,0.1725631058216095,0.1100985656181971,neutral
subordinate_clause_ratio,0.0695613399147987,0.1185371428728103,0.0531089529395103,0.0804024785757064,neutral
passive_ratio,0.0275792274624109,0.0705801919102668,0.0741578117012977,0.0574390770246585,robust
mean_noun_phrase_modifiers,0.0548603907227516,0.0929669216275215,0.07218037545681,0.0733358959356943,robust
pronoun_density,0.2110029011964798,0.1358148157596588,0.2396572083234787,0.1954916417598724,neutral
