level,model_name,mean_auc,std_auc,mean_f1,std_f1
1,XGBoost,0.7180577207122847,0.0022048794708680827,0.6541043843496313,0.0016913464526767384
1,RandomForest,0.6936324846109085,0.0032578135183835696,0.6372425660609442,0.002218358361667576
2,XGBoost,0.9198234452663441,0.003177173122892888,0.8379306018526161,0.003658762227750394
2,RandomForest,0.9108834985797204,0.0030559771019807655,0.8284077328710552,0.0036971672417498718
3,XGBoost,0.9992924563404341,3.774717321221817e-05,0.9893035411573132,0.0008329785007525107
3,RandomForest,0.9988142174709582,0.00011711894075566406,0.9858054590994186,0.00035484090084571447
