feature_name,mean_shap_level1,mean_shap_level2,mean_shap_level3,mean_shap_overall,fragility_label
avg_sent_len,0.34869781136512756,0.22876131534576416,0.4671781659126282,0.34821243087450665,fragile
avg_word_len,0.5976723432540894,1.4192054271697998,4.164330005645752,2.060402592023214,fragile
mattr,0.06110205501317978,0.32434743642807007,0.21847525238990784,0.20130824794371924,neutral
mtld,0.024170419201254845,0.4051498472690582,0.9202190637588501,0.4498464434097211,fragile
hdd,0.04393136501312256,0.19032330811023712,0.316780149936676,0.18367827435334524,neutral
pos_noun_ratio,0.09831230342388153,0.14189496636390686,0.13673968613147736,0.1256489853064219,neutral
pos_verb_ratio,0.03685690835118294,0.0937599167227745,0.10221149772405624,0.07760944093267123,robust
pos_adj_ratio,0.01521305926144123,0.17393186688423157,0.1815277487039566,0.1235575582832098,neutral
pos_adv_ratio,0.01391881424933672,0.04768941178917885,0.06137194484472275,0.04099339029441277,robust
pos_other_ratio,0.4238932728767395,0.5088229775428772,0.5229748487472534,0.4852303663889567,fragile
flesch_kincaid_grade,0.0958041399717331,0.025311533361673355,0.1253502368927002,0.08215530340870221,robust
coleman_liau_index,0.28488367795944214,0.20181456208229065,0.12187032401561737,0.20285618801911673,neutral
gunning_fog,0.1036771908402443,0.13829073309898376,1.3826851844787598,0.5415510361393293,fragile
smog_index,0.15573391318321228,0.5955093502998352,0.8201343417167664,0.5237925350666046,fragile
automated_readability_index,0.07530435919761658,0.35916003584861755,0.4368993639945984,0.29045458634694415,neutral
dale_chall_readability_score,0.41079530119895935,0.09053193032741547,0.5266540050506592,0.34266041219234467,neutral
linsear_write_formula,0.05759084224700928,0.12457533925771713,0.10584660619497299,0.09600426256656647,neutral
connective_freq,0.02426108531653881,0.2004992961883545,0.23839488625526428,0.15438508925338587,neutral
avg_lexical_overlap,0.14329536259174347,0.15932011604309082,0.6975658535957336,0.33339377741018933,neutral
mean_dep_tree_depth,0.0431869775056839,0.1156253069639206,0.16475923359394073,0.1078571726878484,neutral
subordinate_clause_ratio,0.0677020326256752,0.1259775459766388,0.06448087841272354,0.08605348567167918,robust
passive_ratio,0.03171078860759735,0.08046955615282059,0.08717609196901321,0.06645214557647705,robust
mean_noun_phrase_modifiers,0.049950629472732544,0.1028321236371994,0.07361161708831787,0.07546479006608327,robust
pronoun_density,0.20662936568260193,0.13928481936454773,0.2473035752773285,0.1977392534414927,neutral
